id,title,price,brand,gtin,identifier_exists,category,status
LF-5262,DR Power Premier Walk-Behind Lawn and Leaf Vac – 28 Inch,699.00 USD,DR Power,843530006704,yes,Home & Garden > Lawn & Garden > Outdoor Living,Ready for GMC Approval
LF-5258,Champion Power Equipment 8.5kW Home Standby Generator with ATS50 Outdoor Rated Automatic Transfer Switch,699.00 USD,Champion Power Equipment,850878006730,yes,Hardware > Generators > Portable Generators,Ready for GMC Approval
LF-5255,Backyard Discovery Ridgedale Traditional Pergola with Built-in Conversation Seating,699.00 USD,Backyard Discovery,752113102644,yes,Home & Garden > Lawn & Garden > Outdoor Living,Ready for GMC Approval
LF-5265,DR Power Pro 26 Field And Brush Mower 15.5 HP,799.00 USD,DR Power,00843530005615,yes,Home & Garden > Lawn & Garden > Outdoor Living,Ready for GMC Approval
LF-5261,Husqvarna Z248F Zero Turn Lawn Mower – 48″ 726Cc 23Hp V-Twin,799.00 USD,Husqvarna,193028231959,yes,Home & Garden > Lawn & Garden > Outdoor Living,Ready for GMC Approval
LF-5254,Backyard Discovery 12' x 9.5' Arcadia Slope Roof Cedar Gazebo with PowerPort,2199.00 USD,Backyard Discovery,752113396074,yes,Home & Garden > Lawn & Garden > Outdoor Living,Ready for GMC Approval
LF-5260,Craftsman 30″ 10.5 HP 344cc 6-Speed Riding Lawn Mower,799.00 USD,Craftsman,043033588985,yes,Home & Garden > Lawn & Garden > Outdoor Living,Ready for GMC Approval
LF-5259,Husqvarna 23 HP 48″ Deck Riding Mower,799.00 USD,Husqvarna,193028243174,yes,Home & Garden > Lawn & Garden > Outdoor Living,Ready for GMC Approval
LF-5256,"Bluetti Portable Generator 2200W With 350W Solar Panel Included, AC200MAX 2048Wh Solar Generator W/ 4 2200W AC Outlets, Expandable to 8192Wh for Home Backup",699.00 USD,Bluetti,630606446737,yes,Hardware > Generators > Portable Generators,Ready for GMC Approval
LF-5270,"Craftsman R110 – 11.5HP Manual/Gear 36"" Riding Lawn Mower",799.00 USD,Craftsman,043033590339,yes,Home & Garden > Lawn & Garden > Outdoor Living,Ready for GMC Approval
LF-2237,"Backyard Discovery 20′ x 12′ Beaumont Pergola – Premium Cedar Wood, Sturdy &amp;amp; Elegant Design",2099.00 USD,Backyard Discovery,752113191570,yes,Home & Garden > Lawn & Garden > Outdoor Living,Ready for GMC Approval
LF-5264,Detail K2 Big Dump 1100 Pound Electric Power Dump Cart,699.00 USD,Leafanoo,826518005722,yes,Home & Garden > Lawn & Garden > Outdoor Living,Ready for GMC Approval
LF-5271,"Craftsman T2400 – 46"" Hydrostatic Gas Riding Mower",799.00 USD,Craftsman,043033587681,yes,Home & Garden > Lawn & Garden > Outdoor Living,Ready for GMC Approval
LF-5263,"Ego Power+ 21"" Select Cut XP Mower with Touch Drive Kit",699.00 USD,EGO Power+,0195532102428,yes,Home & Garden > Lawn & Garden > Outdoor Living,Ready for GMC Approval
LF-5269,"Craftsman T3200 – 24HP Kohler V-Twin Automatic 54"" Riding Lawn Mower",799.00 USD,Craftsman,810062050697,yes,Home & Garden > Lawn & Garden > Outdoor Living,Ready for GMC Approval
LF-5276,Stihl RZ 560 K Commercial 60″ Zero Turn Lawn Mower,799.00 USD,STIHL,886661495702,yes,Home & Garden > Lawn & Garden > Outdoor Living,Ready for GMC Approval
LF-5275,"Toro Titan Max 60"" IronForged Deck 26HP V-Twin Gas Dual Hydrostatic Zero Turn Riding Mower",899.00 USD,Toro,021038766010,yes,Home & Garden > Lawn & Garden > Outdoor Living,Ready for GMC Approval
LF-5274,Troy-Bilt Bronco 42 – 42” 19HP Briggs &amp;amp; Stratton Automatic Drive Gas Riding Lawn Tractor,899.00 USD,Troy-Bilt,043033587957,yes,Home & Garden > Lawn & Garden > Outdoor Living,Ready for GMC Approval
LF-5272,Cub Cadet Ultima ZT1 – 50” Fabricated Deck 25HP V-Twin Kohler Zero Turn Mower,899.00 USD,Cub Cadet,043033598533,yes,Home & Garden > Lawn & Garden > Outdoor Living,Ready for GMC Approval
LF-5280,"Troy-Bilt 3-N-1 Self-Propelled RWD Gas Lawn Mower, 195cc Engine",899.00 USD,Troy-Bilt,043033595112,yes,Home & Garden > Lawn & Garden > Outdoor Living,Ready for GMC Approval
LF-5277,Ryobi 48V HP Brushless 54-inch 115 Ah Battery Electric Riding Zero Turn Mower,899.00 USD,Ryobi,046396035745,yes,Home & Garden > Lawn & Garden > Outdoor Living,Ready for GMC Approval
LF-5266,Husqvarna Z254F Zero Turn Lawn Mower 54″ 726Cc 24Hp V Twin,799.00 USD,Husqvarna,193028231966,yes,Home & Garden > Lawn & Garden > Outdoor Living,Ready for GMC Approval
LF-5267,EGO Power+ 42″ 56-Volt Lithium-Ion Z6 Zero Turn Mower,899.00 USD,EGO Power+,692042012839,yes,Home & Garden > Lawn & Garden > Outdoor Living,Ready for GMC Approval
LF-5279,Toro TimeMaster 21199 30 in. 223 cc Gas Self-Propelled Lawn Mower,899.00 USD,Toro,0021038211992,yes,Home & Garden > Lawn & Garden > Outdoor Living,Ready for GMC Approval
LF-5281,Yoshino B4000 SST New Solid-State Portable Power Station,899.00 USD,Yoshino,850045570033,yes,Hardware > Generators > Portable Generators,Ready for GMC Approval
LF-5312,Predator 9500 Watt Super Quiet Inverter Generator with CO Secure Technology,899.00 USD,Predator,792363570800,yes,Hardware > Generators > Portable Generators,Ready for GMC Approval
LF-5314,Predator 3500 Watt Super Quiet Inverter Generator,799.00 USD,Predator,0792363635844,yes,Hardware > Generators > Portable Generators,Ready for GMC Approval
LF-5273,Troy-Bilt Bronco 42E XP – 42” 56V MAX Lithium-Ion Electric Riding Lawn Tractor,899.00 USD,Troy-Bilt,043033599868,yes,Home & Garden > Lawn & Garden > Outdoor Living,Ready for GMC Approval
LF-5323,"KidKraft Mockingbird View Wooden Swing Set / Playset with Tower, Hoop, Tunnel, and Tire Swing",799.00 USD,KidKraft,875257248488,yes,Home & Garden > Lawn & Garden > Outdoor Living,Ready for GMC Approval
LF-5318,Generac 7706 Gas Powered Portable Generator 49st,799.00 USD,Generac,696471083101,yes,Hardware > Generators > Portable Generators,Ready for GMC Approval
LF-5322,KidKraft Skyway Resort Wooden Swing Set,899.00 USD,KidKraft,0875257007955,yes,Home & Garden > Lawn & Garden > Outdoor Living,Ready for GMC Approval
LF-5320,Lifetime Big Stuff Swing Set,899.00 USD,Lifetime,081483009025,yes,Home & Garden > Lawn & Garden > Outdoor Living,Ready for GMC Approval
LF-5324,Gorilla Playsets Treasure Trove II Treehouse Wooden Swing Set,799.00 USD,Gorilla Playsets,0870780003405,yes,Home & Garden > Lawn & Garden > Outdoor Living,Ready for GMC Approval
LF-5325,"Gorilla Playsets Pioneer Peak Treehouse Wooden Swing Set with Tire Swing, and Clatter Bridge and Tower",799.00 USD,Gorilla Playsets,870780002439,yes,Home & Garden > Lawn & Garden > Outdoor Living,Ready for GMC Approval
LF-5327,"Gorilla Playsets Empire Extreme Wooden Swing Set with Monkey Bars, Clatter Bridge, Tower, and 3 Slides",899.00 USD,Gorilla Playsets,870780000862,yes,Home & Garden > Lawn & Garden > Outdoor Living,Ready for GMC Approval
LF-5328,Creative Cedar Designs Cedar Cottage Wooden Swing Set,899.00 USD,Creative Cedar Designs,817452021381,yes,Home & Garden > Lawn & Garden > Outdoor Living,Ready for GMC Approval
LF-5332,"Champion Power Equipment 15,000/12,000 Watts Portable Generator with Electric Start &amp;amp; Lift Hook",799.00 USD,Champion Power Equipment,896682000731,yes,Hardware > Generators > Portable Generators,Ready for GMC Approval
LF-5329,Congo Monkey Playsystem Adventurer Wooden Swing Set,899.00 USD,Congo,812006014888,yes,Home & Garden > Lawn & Garden > Outdoor Living,Ready for GMC Approval
LF-5319,"DuroMax XP13000HXT 13,000 Watt Electric Start Tri-Fuel Portable Generator w/ CO Alert",899.00 USD,DuroMax,811640016470,yes,Hardware > Generators > Portable Generators,Ready for GMC Approval
