Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Status
oxo-good-grips-3-piece-mixing-bowl-set-with-non-slip-base,OXO Good Grips 3-Piece Mixing Bowl Set with Non-Slip Base,"<p>The <strong>OXO Good Grips 3-Piece Mixing Bowl Set with Non-Slip Base</strong> from <strong>OXO</strong> delivers outstanding performance, exceptional reliability, and long-lasting durability.</p><ul><li><strong>Brand:</strong> OXO</li><li><strong>Model / MPN:</strong> 1130292</li><li><strong>Condition:</strong> Brand New Authentic</li><li><strong>Category:</strong> Home & Kitchen &ndash; Mixing Bowls</li><li><strong>Authentic GTIN / UPC:</strong> 0719812030296</li></ul>",OXO,Home & Kitchen,"Home & Kitchen, Mixing Bowls, OXO, verified-catalog",TRUE,Title,Default Title,,,,,OXO-113029-1001,450,shopify,50,deny,manual,29.99,34.49,TRUE,TRUE,,,,OXO Good Grips 3-Piece Mixing Bowl Set with Non-Slip Base | OXO &ndash; Leafanoo,"Buy authentic OXO Good Grips 3-Piece Mixing Bowl Set with Non-Slip Base by OXO at Leafanoo. Fast tracked US shipping, 30-day returns, and guaranteed manufacturer specifications.",Home & Garden > Kitchen & Dining > Kitchen Tools & Utensils,,,1130292,new,active
rubbermaid-brilliance-leak-proof-food-storage-containers-10-piece-set,Rubbermaid Brilliance Leak-Proof Food Storage Containers 10-Piece Set,"<p>The <strong>Rubbermaid Brilliance Leak-Proof Food Storage Containers 10-Piece Set</strong> from <strong>Rubbermaid</strong> delivers outstanding performance, exceptional reliability, and long-lasting durability.</p><ul><li><strong>Brand:</strong> Rubbermaid</li><li><strong>Model / MPN:</strong> 2118963</li><li><strong>Condition:</strong> Brand New Authentic</li><li><strong>Category:</strong> Home & Kitchen &ndash; Food Storage</li><li><strong>Authentic GTIN / UPC:</strong> 071691512402</li></ul>",Rubbermaid,Home & Kitchen,"Home & Kitchen, Food Storage, Rubbermaid, verified-catalog",TRUE,Title,Default Title,,,,,RUB-211896-1002,450,shopify,50,deny,manual,42.99,49.44,TRUE,TRUE,,,,Rubbermaid Brilliance Leak-Proof Food Storage Containers 10-Piece Set | Rubbermaid &ndash; Leafanoo,"Buy authentic Rubbermaid Brilliance Leak-Proof Food Storage Containers 10-Piece Set by Rubbermaid at Leafanoo. Fast tracked US shipping, 30-day returns, and guaranteed manufacturer specifications.",Home & Garden > Kitchen & Dining > Kitchen Tools & Utensils,,,2118963,new,active
pyrex-deep-4-piece-glass-baking-dish-set-with-secure-lids,Pyrex Deep 4-Piece Glass Baking Dish Set with Secure Lids,"<p>The <strong>Pyrex Deep 4-Piece Glass Baking Dish Set with Secure Lids</strong> from <strong>Pyrex</strong> delivers outstanding performance, exceptional reliability, and long-lasting durability.</p><ul><li><strong>Brand:</strong> Pyrex</li><li><strong>Model / MPN:</strong> 1141384</li><li><strong>Condition:</strong> Brand New Authentic</li><li><strong>Category:</strong> Home & Kitchen &ndash; Bakeware</li><li><strong>Authentic GTIN / UPC:</strong> 071160136287</li></ul>",Pyrex,Home & Kitchen,"Home & Kitchen, Bakeware, Pyrex, verified-catalog",TRUE,Title,Default Title,,,,,PYR-114138-1003,450,shopify,50,deny,manual,34.99,40.24,TRUE,TRUE,,,,Pyrex Deep 4-Piece Glass Baking Dish Set with Secure Lids | Pyrex &ndash; Leafanoo,"Buy authentic Pyrex Deep 4-Piece Glass Baking Dish Set with Secure Lids by Pyrex at Leafanoo. Fast tracked US shipping, 30-day returns, and guaranteed manufacturer specifications.",Home & Garden > Kitchen & Dining > Kitchen Tools & Utensils,,,1141384,new,active
lodge-pre-seasoned-cast-iron-skillet-1025-inch-with-assist-handle,Lodge Pre-Seasoned Cast Iron Skillet 10.25-Inch with Assist Handle,"<p>The <strong>Lodge Pre-Seasoned Cast Iron Skillet 10.25-Inch with Assist Handle</strong> from <strong>Lodge</strong> delivers outstanding performance, exceptional reliability, and long-lasting durability.</p><ul><li><strong>Brand:</strong> Lodge</li><li><strong>Model / MPN:</strong> L8SK3</li><li><strong>Condition:</strong> Brand New Authentic</li><li><strong>Category:</strong> Home & Kitchen &ndash; Cookware</li><li><strong>Authentic GTIN / UPC:</strong> 075536300800</li></ul>",Lodge,Home & Kitchen,"Home & Kitchen, Cookware, Lodge, verified-catalog",TRUE,Title,Default Title,,,,,LOD-L8SK3-1004,450,shopify,50,deny,manual,24.95,28.69,TRUE,TRUE,,,,Lodge Pre-Seasoned Cast Iron Skillet 10.25-Inch with Assist Handle | Lodge &ndash; Leafanoo,"Buy authentic Lodge Pre-Seasoned Cast Iron Skillet 10.25-Inch with Assist Handle by Lodge at Leafanoo. Fast tracked US shipping, 30-day returns, and guaranteed manufacturer specifications.",Home & Garden > Kitchen & Dining > Kitchen Tools & Utensils,,,L8SK3,new,active
oxo-good-grips-large-salad-spinner-with-brake-mechanism,OXO Good Grips Large Salad Spinner with Brake Mechanism,"<p>The <strong>OXO Good Grips Large Salad Spinner with Brake Mechanism</strong> from <strong>OXO</strong> delivers outstanding performance, exceptional reliability, and long-lasting durability.</p><ul><li><strong>Brand:</strong> OXO</li><li><strong>Model / MPN:</strong> 1130700</li><li><strong>Condition:</strong> Brand New Authentic</li><li><strong>Category:</strong> Home & Kitchen &ndash; Salad Spinners</li><li><strong>Authentic GTIN / UPC:</strong> 0719812030708</li></ul>",OXO,Home & Kitchen,"Home & Kitchen, Salad Spinners, OXO, verified-catalog",TRUE,Title,Default Title,,,,,OXO-113070-1005,450,shopify,50,deny,manual,29.95,34.44,TRUE,TRUE,,,,OXO Good Grips Large Salad Spinner with Brake Mechanism | OXO &ndash; Leafanoo,"Buy authentic OXO Good Grips Large Salad Spinner with Brake Mechanism by OXO at Leafanoo. Fast tracked US shipping, 30-day returns, and guaranteed manufacturer specifications.",Home & Garden > Kitchen & Dining > Kitchen Tools & Utensils,,,1130700,new,active
contigo-autoseal-west-loop-stainless-steel-travel-mug-16-oz,Contigo AUTOSEAL West Loop Stainless Steel Travel Mug 16 oz,"<p>The <strong>Contigo AUTOSEAL West Loop Stainless Steel Travel Mug 16 oz</strong> from <strong>Contigo</strong> delivers outstanding performance, exceptional reliability, and long-lasting durability.</p><ul><li><strong>Brand:</strong> Contigo</li><li><strong>Model / MPN:</strong> 2094830</li><li><strong>Condition:</strong> Brand New Authentic</li><li><strong>Category:</strong> Home & Kitchen &ndash; Travel Mugs</li><li><strong>Authentic GTIN / UPC:</strong> 0840298131238</li></ul>",Contigo,Home & Kitchen,"Home & Kitchen, Travel Mugs, Contigo, verified-catalog",TRUE,Title,Default Title,,,,,CON-209483-1006,450,shopify,50,deny,manual,22.99,26.44,TRUE,TRUE,,,,Contigo AUTOSEAL West Loop Stainless Steel Travel Mug 16 oz | Contigo &ndash; Leafanoo,"Buy authentic Contigo AUTOSEAL West Loop Stainless Steel Travel Mug 16 oz by Contigo at Leafanoo. Fast tracked US shipping, 30-day returns, and guaranteed manufacturer specifications.",Home & Garden > Kitchen & Dining > Kitchen Tools & Utensils,,,2094830,new,active
oxo-good-grips-pro-swivel-vegetable-peeler-stainless-steel,OXO Good Grips Pro Swivel Vegetable Peeler Stainless Steel,"<p>The <strong>OXO Good Grips Pro Swivel Vegetable Peeler Stainless Steel</strong> from <strong>OXO</strong> delivers outstanding performance, exceptional reliability, and long-lasting durability.</p><ul><li><strong>Brand:</strong> OXO</li><li><strong>Model / MPN:</strong> 1057967</li><li><strong>Condition:</strong> Brand New Authentic</li><li><strong>Category:</strong> Home & Kitchen &ndash; Peelers</li><li><strong>Authentic GTIN / UPC:</strong> 0719812005799</li></ul>",OXO,Home & Kitchen,"Home & Kitchen, Peelers, OXO, verified-catalog",TRUE,Title,Default Title,,,,,OXO-105796-1007,450,shopify,50,deny,manual,11.95,13.74,TRUE,TRUE,,,,OXO Good Grips Pro Swivel Vegetable Peeler Stainless Steel | OXO &ndash; Leafanoo,"Buy authentic OXO Good Grips Pro Swivel Vegetable Peeler Stainless Steel by OXO at Leafanoo. Fast tracked US shipping, 30-day returns, and guaranteed manufacturer specifications.",Home & Garden > Kitchen & Dining > Kitchen Tools & Utensils,,,1057967,new,active
thermopro-lightning-fast-digital-meat-thermometer-tp19h-waterproof,ThermoPro Lightning-Fast Digital Meat Thermometer TP19H Waterproof,"<p>The <strong>ThermoPro Lightning-Fast Digital Meat Thermometer TP19H Waterproof</strong> from <strong>ThermoPro</strong> delivers outstanding performance, exceptional reliability, and long-lasting durability.</p><ul><li><strong>Brand:</strong> ThermoPro</li><li><strong>Model / MPN:</strong> TP19H</li><li><strong>Condition:</strong> Brand New Authentic</li><li><strong>Category:</strong> Home & Kitchen &ndash; Thermometers</li><li><strong>Authentic GTIN / UPC:</strong> 0850005781321</li></ul>",ThermoPro,Home & Kitchen,"Home & Kitchen, Thermometers, ThermoPro, verified-catalog",TRUE,Title,Default Title,,,,,THE-TP19H-1008,450,shopify,50,deny,manual,19.99,22.99,TRUE,TRUE,,,,ThermoPro Lightning-Fast Digital Meat Thermometer TP19H Waterproof | ThermoPro &ndash; Leafanoo,"Buy authentic ThermoPro Lightning-Fast Digital Meat Thermometer TP19H Waterproof by ThermoPro at Leafanoo. Fast tracked US shipping, 30-day returns, and guaranteed manufacturer specifications.",Home & Garden > Kitchen & Dining > Kitchen Tools & Utensils,,,TP19H,new,active
kitchenaid-classic-measuring-cups-and-spoons-9-piece-set-aqua-sky,KitchenAid Classic Measuring Cups and Spoons 9-Piece Set Aqua Sky,"<p>The <strong>KitchenAid Classic Measuring Cups and Spoons 9-Piece Set Aqua Sky</strong> from <strong>KitchenAid</strong> delivers outstanding performance, exceptional reliability, and long-lasting durability.</p><ul><li><strong>Brand:</strong> KitchenAid</li><li><strong>Model / MPN:</strong> KQ458OS</li><li><strong>Condition:</strong> Brand New Authentic</li><li><strong>Category:</strong> Home & Kitchen &ndash; Measuring Tools</li><li><strong>Authentic GTIN / UPC:</strong> 024131435791</li></ul>",KitchenAid,Home & Kitchen,"Home & Kitchen, Measuring Tools, KitchenAid, verified-catalog",TRUE,Title,Default Title,,,,,KIT-KQ458O-1009,450,shopify,50,deny,manual,15.99,18.39,TRUE,TRUE,,,,KitchenAid Classic Measuring Cups and Spoons 9-Piece Set Aqua Sky | KitchenAid &ndash; Leafanoo,"Buy authentic KitchenAid Classic Measuring Cups and Spoons 9-Piece Set Aqua Sky by KitchenAid at Leafanoo. Fast tracked US shipping, 30-day returns, and guaranteed manufacturer specifications.",Home & Garden > Kitchen & Dining > Kitchen Tools & Utensils,,,KQ458OS,new,active
totally-bamboo-3-piece-two-tone-bamboo-cutting-board-set-with-drip-groove,Totally Bamboo 3-Piece Two-Tone Bamboo Cutting Board Set with Drip Groove,"<p>The <strong>Totally Bamboo 3-Piece Two-Tone Bamboo Cutting Board Set with Drip Groove</strong> from <strong>Totally Bamboo</strong> delivers outstanding performance, exceptional reliability, and long-lasting durability.</p><ul><li><strong>Brand:</strong> Totally Bamboo</li><li><strong>Model / MPN:</strong> 20-2041</li><li><strong>Condition:</strong> Brand New Authentic</li><li><strong>Category:</strong> Home & Kitchen &ndash; Cutting Boards</li><li><strong>Authentic GTIN / UPC:</strong> 0855212000418</li></ul>",Totally Bamboo,Home & Kitchen,"Home & Kitchen, Cutting Boards, Totally Bamboo, verified-catalog",TRUE,Title,Default Title,,,,,TOT-20-204-1010,450,shopify,50,deny,manual,21.99,25.29,TRUE,TRUE,,,,Totally Bamboo 3-Piece Two-Tone Bamboo Cutting Board Set with Drip Groove | Totally Bamboo &ndash; Leafanoo,"Buy authentic Totally Bamboo 3-Piece Two-Tone Bamboo Cutting Board Set with Drip Groove by Totally Bamboo at Leafanoo. Fast tracked US shipping, 30-day returns, and guaranteed manufacturer specifications.",Home & Garden > Kitchen & Dining > Kitchen Tools & Utensils,,,20-2041,new,active
