handle,title,vendor,category,price,compare_at_price,sku,gtin,google_product_category,image_count,primary_image,source_url
dr-power-premier-walk-behind-lawn-and-leaf-vac-28-inch,DR Power Premier Walk-Behind Lawn and Leaf Vac – 28 Inch,DR Power,Self-Propelled Mowers,699.00,824.82,LF-5262,843530006704,Home & Garden > Lawn & Garden > Outdoor Living,1,https://laitm.com/wp-content/uploads/2026/07/laitmm-product-10-image-1.png,https://laitm.com/product/dr-power-premier-walk-behind-lawn-and-leaf-vac-28-inch/
champion-power-equipment-8-5kw-home-standby-generator-with-ats50-outdoor-rated-automatic-transfer-switch,Champion Power Equipment 8.5kW Home Standby Generator with ATS50 Outdoor Rated Automatic Transfer Switch,Champion Power Equipment,Portable Generators,699.00,824.82,LF-5258,850878006730,Hardware > Generators > Portable Generators,1,https://laitm.com/wp-content/uploads/2026/07/laitmm-product-6-image-1.png,https://laitm.com/product/champion-power-equipment-8-5kw-home-standby-generator-with-ats50-outdoor-rated-automatic-transfer-switch/
backyard-discovery-ridgedale-traditional-pergola-with-built-in-conversation-seating,Backyard Discovery Ridgedale Traditional Pergola with Built-in Conversation Seating,Backyard Discovery,Garden Essentials,699.00,824.82,LF-5255,752113102644,Home & Garden > Lawn & Garden > Outdoor Living,1,https://laitm.com/wp-content/uploads/2026/07/laitmm-product-3-image-1.png,https://laitm.com/product/backyard-discovery-ridgedale-traditional-pergola-with-built-in-conversation-seating/
dr-power-pro-26-field-and-brush-mower-15-5-hp,DR Power Pro 26 Field And Brush Mower 15.5 HP,DR Power,Self-Propelled Mowers,799.00,942.82,LF-5265,00843530005615,Home & Garden > Lawn & Garden > Outdoor Living,1,https://laitm.com/wp-content/uploads/2026/07/laitmm-product-13-image-1.png,https://laitm.com/product/dr-power-pro-26-field-and-brush-mower-15-5-hp/
husqvarna-z248f-zero-turn-lawn-mower-48-726cc-23hp-v-twin,Husqvarna Z248F Zero Turn Lawn Mower – 48″ 726Cc 23Hp V-Twin,Husqvarna,Ride Mowers,799.00,942.82,LF-5261,193028231959,Home & Garden > Lawn & Garden > Outdoor Living,1,https://laitm.com/wp-content/uploads/2026/07/laitmm-product-9-image-1.png,https://laitm.com/product/husqvarna-z248f-zero-turn-lawn-mower-48%e2%80%b3-726cc-23hp-v-twin/
backyard-discovery-12-x-9-5-arcadia-slope-roof-cedar-gazebo-with-powerport,Backyard Discovery 12' x 9.5' Arcadia Slope Roof Cedar Gazebo with PowerPort,Backyard Discovery,Garden Essentials,2199.00,2594.82,LF-5254,752113396074,Home & Garden > Lawn & Garden > Outdoor Living,1,https://laitm.com/wp-content/uploads/2026/07/laitmm-product-2-image-1.png,https://laitm.com/product/backyard-discovery-12-x-9-5-arcadia-slope-roof-cedar-gazebo-with-powerport/
craftsman-30-10-5-hp-344cc-6-speed-riding-lawn-mower,Craftsman 30″ 10.5 HP 344cc 6-Speed Riding Lawn Mower,Craftsman,Ride Mowers,799.00,942.82,LF-5260,043033588985,Home & Garden > Lawn & Garden > Outdoor Living,1,https://laitm.com/wp-content/uploads/2026/07/laitmm-product-8-image-1.png,https://laitm.com/product/craftsman-30%e2%80%b3-10-5-hp-344cc-6-speed-riding-lawn-mower/
husqvarna-23-hp-48-deck-riding-mower,Husqvarna 23 HP 48″ Deck Riding Mower,Husqvarna,Ride Mowers,799.00,942.82,LF-5259,193028243174,Home & Garden > Lawn & Garden > Outdoor Living,1,https://laitm.com/wp-content/uploads/2026/07/laitmm-product-7-image-1.png,https://laitm.com/product/husqvarna-23-hp-48%e2%80%b3-deck-riding-mower/
bluetti-portable-generator-2200w-with-350w-solar-panel-included-ac200max-2048wh-solar-generator-w-4-2200w-ac-outlets-expandable-to-8192wh-for-home-backup,"Bluetti Portable Generator 2200W With 350W Solar Panel Included, AC200MAX 2048Wh Solar Generator W/ 4 2200W AC Outlets, Expandable to 8192Wh for Home Backup",Bluetti,Portable Generators,699.00,824.82,LF-5256,630606446737,Hardware > Generators > Portable Generators,1,https://laitm.com/wp-content/uploads/2026/07/laitmm-product-4-image-1.png,https://laitm.com/product/bluetti-portable-generator-2200w-with-350w-solar-panel-included-ac200max-2048wh-solar-generator-w-4-2200w-ac-outlets-expandable-to-8192wh-for-home-backup/
craftsman-r110-11-5hp-manual-gear-36-riding-lawn-mower,"Craftsman R110 – 11.5HP Manual/Gear 36"" Riding Lawn Mower",Craftsman,Ride Mowers,799.00,942.82,LF-5270,043033590339,Home & Garden > Lawn & Garden > Outdoor Living,1,https://laitm.com/wp-content/uploads/2026/07/laitmm-product-18-image-1.png,https://laitm.com/product/craftsman-r110-11-5hp-manual-gear-36-riding-lawn-mower/
backyard-discovery-20-x-12-beaumont-pergola-premium-cedar-wood-sturdy-elegant-design,"Backyard Discovery 20′ x 12′ Beaumont Pergola – Premium Cedar Wood, Sturdy &amp;amp; Elegant Design",Backyard Discovery,Garden Essentials,2099.00,2476.82,LF-2237,752113191570,Home & Garden > Lawn & Garden > Outdoor Living,1,https://laitm.com/wp-content/uploads/2026/07/laitm-product-60-image-1.png,https://laitm.com/product/backyard-discovery-20%e2%80%b2-x-12%e2%80%b2-beaumont-pergola-premium-cedar-wood-sturdy-elegant-design/
detail-k2-big-dump-1100-pound-electric-power-dump-cart,Detail K2 Big Dump 1100 Pound Electric Power Dump Cart,Leafanoo,Garden Essentials,699.00,824.82,LF-5264,826518005722,Home & Garden > Lawn & Garden > Outdoor Living,1,https://laitm.com/wp-content/uploads/2026/07/laitmm-product-12-image-1.png,https://laitm.com/product/detail-k2-big-dump-1100-pound-electric-power-dump-cart/
craftsman-t2400-46-hydrostatic-gas-riding-mower,"Craftsman T2400 – 46"" Hydrostatic Gas Riding Mower",Craftsman,Ride Mowers,799.00,942.82,LF-5271,043033587681,Home & Garden > Lawn & Garden > Outdoor Living,1,https://laitm.com/wp-content/uploads/2026/07/laitmm-product-19-image-1.png,https://laitm.com/product/craftsman-t2400-46-hydrostatic-gas-riding-mower/
ego-power-21-select-cut-xp-mower-with-touch-drive-kit,"Ego Power+ 21"" Select Cut XP Mower with Touch Drive Kit",EGO Power+,Self-Propelled Mowers,699.00,824.82,LF-5263,0195532102428,Home & Garden > Lawn & Garden > Outdoor Living,1,https://laitm.com/wp-content/uploads/2026/07/laitmm-product-11-image-1.png,https://laitm.com/product/ego-power-21-select-cut-xp-mower-with-touch-drive-kit/
craftsman-t3200-24hp-kohler-v-twin-automatic-54-riding-lawn-mower,"Craftsman T3200 – 24HP Kohler V-Twin Automatic 54"" Riding Lawn Mower",Craftsman,Ride Mowers,799.00,942.82,LF-5269,810062050697,Home & Garden > Lawn & Garden > Outdoor Living,1,https://laitm.com/wp-content/uploads/2026/07/laitmm-product-17-image-1.png,https://laitm.com/product/craftsman-t3200-24hp-kohler-v-twin-automatic-54-riding-lawn-mower/
stihl-rz-560-k-commercial-60-zero-turn-lawn-mower,Stihl RZ 560 K Commercial 60″ Zero Turn Lawn Mower,STIHL,Ride Mowers,799.00,942.82,LF-5276,886661495702,Home & Garden > Lawn & Garden > Outdoor Living,1,https://laitm.com/wp-content/uploads/2026/07/laitmm-product-24-image-1.png,https://laitm.com/product/stihl-rz-560-k-commercial-60%e2%80%b3-zero-turn-lawn-mower/
toro-titan-max-60-ironforged-deck-26hp-v-twin-gas-dual-hydrostatic-zero-turn-riding-mower,"Toro Titan Max 60"" IronForged Deck 26HP V-Twin Gas Dual Hydrostatic Zero Turn Riding Mower",Toro,Ride Mowers,899.00,1060.82,LF-5275,021038766010,Home & Garden > Lawn & Garden > Outdoor Living,1,https://laitm.com/wp-content/uploads/2026/07/laitmm-product-23-image-1.png,https://laitm.com/product/toro-titan-max-60-ironforged-deck-26hp-v-twin-gas-dual-hydrostatic-zero-turn-riding-mower/
troy-bilt-bronco-42-42-19hp-briggs-stratton-automatic-drive-gas-riding-lawn-tractor,Troy-Bilt Bronco 42 – 42” 19HP Briggs &amp;amp; Stratton Automatic Drive Gas Riding Lawn Tractor,Troy-Bilt,Ride Mowers,899.00,1060.82,LF-5274,043033587957,Home & Garden > Lawn & Garden > Outdoor Living,1,https://laitm.com/wp-content/uploads/2026/07/laitmm-product-22-image-1.png,https://laitm.com/product/troy-bilt-bronco-42-42-19hp-briggs-stratton-automatic-drive-gas-riding-lawn-tractor/
cub-cadet-ultima-zt1-50-fabricated-deck-25hp-v-twin-kohler-zero-turn-mower,Cub Cadet Ultima ZT1 – 50” Fabricated Deck 25HP V-Twin Kohler Zero Turn Mower,Cub Cadet,Ride Mowers,899.00,1060.82,LF-5272,043033598533,Home & Garden > Lawn & Garden > Outdoor Living,1,https://laitm.com/wp-content/uploads/2026/07/laitmm-product-20-image-1.png,https://laitm.com/product/cub-cadet-ultima-zt1-50-fabricated-deck-25hp-v-twin-kohler-zero-turn-mower/
troy-bilt-3-n-1-self-propelled-rwd-gas-lawn-mower-195cc-engine,"Troy-Bilt 3-N-1 Self-Propelled RWD Gas Lawn Mower, 195cc Engine",Troy-Bilt,Self-Propelled Mowers,899.00,1060.82,LF-5280,043033595112,Home & Garden > Lawn & Garden > Outdoor Living,1,https://laitm.com/wp-content/uploads/2026/07/laitmm-product-28-image-1.png,https://laitm.com/product/troy-bilt-3-n-1-self-propelled-rwd-gas-lawn-mower-195cc-engine/
ryobi-48v-hp-brushless-54-inch-115-ah-battery-electric-riding-zero-turn-mower,Ryobi 48V HP Brushless 54-inch 115 Ah Battery Electric Riding Zero Turn Mower,Ryobi,Ride Mowers,899.00,1060.82,LF-5277,046396035745,Home & Garden > Lawn & Garden > Outdoor Living,1,https://laitm.com/wp-content/uploads/2026/07/laitmm-product-25-image-1.png,https://laitm.com/product/ryobi-48v-hp-brushless-54-inch-115-ah-battery-electric-riding-zero-turn-mower/
husqvarna-z254f-zero-turn-lawn-mower-54-726cc-24hp-v-twin,Husqvarna Z254F Zero Turn Lawn Mower 54″ 726Cc 24Hp V Twin,Husqvarna,Ride Mowers,799.00,942.82,LF-5266,193028231966,Home & Garden > Lawn & Garden > Outdoor Living,1,https://laitm.com/wp-content/uploads/2026/07/laitmm-product-14-image-1.png,https://laitm.com/product/husqvarna-z254f-zero-turn-lawn-mower-54%e2%80%b3-726cc-24hp-v-twin/
ego-power-42-56-volt-lithium-ion-z6-zero-turn-mower,EGO Power+ 42″ 56-Volt Lithium-Ion Z6 Zero Turn Mower,EGO Power+,Ride Mowers,899.00,1060.82,LF-5267,692042012839,Home & Garden > Lawn & Garden > Outdoor Living,1,https://laitm.com/wp-content/uploads/2026/07/laitmm-product-15-image-1.png,https://laitm.com/product/ego-power-42%e2%80%b3-56-volt-lithium-ion-z6-zero-turn-mower/
toro-timemaster-21199-30-in-223-cc-gas-self-propelled-lawn-mower,Toro TimeMaster 21199 30 in. 223 cc Gas Self-Propelled Lawn Mower,Toro,Self-Propelled Mowers,899.00,1060.82,LF-5279,0021038211992,Home & Garden > Lawn & Garden > Outdoor Living,1,https://laitm.com/wp-content/uploads/2026/07/laitmm-product-27-image-1.png,https://laitm.com/product/toro-timemaster-21199-30-in-223-cc-gas-self-propelled-lawn-mower/
yoshino-b4000-sst-new-solid-state-portable-power-station,Yoshino B4000 SST New Solid-State Portable Power Station,Yoshino,Portable Generators,899.00,1060.82,LF-5281,850045570033,Hardware > Generators > Portable Generators,1,https://laitm.com/wp-content/uploads/2026/07/laitmm-product-29-image-1.png,https://laitm.com/product/yoshino-b4000-sst-new-solid-state-portable-power-station/
predator-9500-watt-super-quiet-inverter-generator-with-co-secure-technology,Predator 9500 Watt Super Quiet Inverter Generator with CO Secure Technology,Predator,Portable Generators,899.00,1060.82,LF-5312,792363570800,Hardware > Generators > Portable Generators,1,https://laitm.com/wp-content/uploads/2026/07/laitmm-product-31-image-1.png,https://laitm.com/product/predator-9500-watt-super-quiet-inverter-generator-with-co-secure-technology/
predator-3500-watt-super-quiet-inverter-generator,Predator 3500 Watt Super Quiet Inverter Generator,Predator,Portable Generators,799.00,942.82,LF-5314,0792363635844,Hardware > Generators > Portable Generators,1,https://laitm.com/wp-content/uploads/2026/07/laitmm-product-33-image-1.png,https://laitm.com/product/predator-3500-watt-super-quiet-inverter-generator/
troy-bilt-bronco-42e-xp-42-56v-max-lithium-ion-electric-riding-lawn-tractor,Troy-Bilt Bronco 42E XP – 42” 56V MAX Lithium-Ion Electric Riding Lawn Tractor,Troy-Bilt,Ride Mowers,899.00,1060.82,LF-5273,043033599868,Home & Garden > Lawn & Garden > Outdoor Living,1,https://laitm.com/wp-content/uploads/2026/07/laitmm-product-21-image-1.png,https://laitm.com/product/troy-bilt-bronco-42e-xp-42-56v-max-lithium-ion-electric-riding-lawn-tractor/
kidkraft-mockingbird-view-wooden-swing-set-playset-with-tower-hoop-tunnel-and-tire-swing,"KidKraft Mockingbird View Wooden Swing Set / Playset with Tower, Hoop, Tunnel, and Tire Swing",KidKraft,Garden Essentials,799.00,942.82,LF-5323,875257248488,Home & Garden > Lawn & Garden > Outdoor Living,1,https://laitm.com/wp-content/uploads/2026/07/laitmm-product-42-image-1.png,https://laitm.com/product/kidkraft-mockingbird-view-wooden-swing-set-playset-with-tower-hoop-tunnel-and-tire-swing/
generac-7706-gas-powered-portable-generator-49st,Generac 7706 Gas Powered Portable Generator 49st,Generac,Portable Generators,799.00,942.82,LF-5318,696471083101,Hardware > Generators > Portable Generators,1,https://laitm.com/wp-content/uploads/2026/07/laitmm-product-37-image-1.png,https://laitm.com/product/generac-7706-gas-powered-portable-generator-49st/
kidkraft-skyway-resort-wooden-swing-set,KidKraft Skyway Resort Wooden Swing Set,KidKraft,Garden Essentials,899.00,1060.82,LF-5322,0875257007955,Home & Garden > Lawn & Garden > Outdoor Living,1,https://laitm.com/wp-content/uploads/2026/07/laitmm-product-41-image-1.png,https://laitm.com/product/kidkraft-skyway-resort-wooden-swing-set/
lifetime-big-stuff-swing-set,Lifetime Big Stuff Swing Set,Lifetime,Garden Essentials,899.00,1060.82,LF-5320,081483009025,Home & Garden > Lawn & Garden > Outdoor Living,1,https://laitm.com/wp-content/uploads/2026/07/laitmm-product-39-image-1.png,https://laitm.com/product/lifetime-big-stuff-swing-set/
gorilla-playsets-treasure-trove-ii-treehouse-wooden-swing-set,Gorilla Playsets Treasure Trove II Treehouse Wooden Swing Set,Gorilla Playsets,Garden Essentials,799.00,942.82,LF-5324,0870780003405,Home & Garden > Lawn & Garden > Outdoor Living,1,https://laitm.com/wp-content/uploads/2026/07/laitmm-product-43-image-1.png,https://laitm.com/product/gorilla-playsets-treasure-trove-ii-treehouse-wooden-swing-set/
gorilla-playsets-pioneer-peak-treehouse-wooden-swing-set-with-tire-swing-and-clatter-bridge-and-tower,"Gorilla Playsets Pioneer Peak Treehouse Wooden Swing Set with Tire Swing, and Clatter Bridge and Tower",Gorilla Playsets,Garden Essentials,799.00,942.82,LF-5325,870780002439,Home & Garden > Lawn & Garden > Outdoor Living,1,https://laitm.com/wp-content/uploads/2026/07/laitmm-product-44-image-1.png,https://laitm.com/product/gorilla-playsets-pioneer-peak-treehouse-wooden-swing-set-with-tire-swing-and-clatter-bridge-and-tower/
gorilla-playsets-empire-extreme-wooden-swing-set-with-monkey-bars-clatter-bridge-tower-and-3-slides,"Gorilla Playsets Empire Extreme Wooden Swing Set with Monkey Bars, Clatter Bridge, Tower, and 3 Slides",Gorilla Playsets,Garden Essentials,899.00,1060.82,LF-5327,870780000862,Home & Garden > Lawn & Garden > Outdoor Living,1,https://laitm.com/wp-content/uploads/2026/07/laitmm-product-46-image-1.png,https://laitm.com/product/gorilla-playsets-empire-extreme-wooden-swing-set-with-monkey-bars-clatter-bridge-tower-and-3-slides/
creative-cedar-designs-cedar-cottage-wooden-swing-set,Creative Cedar Designs Cedar Cottage Wooden Swing Set,Creative Cedar Designs,Garden Essentials,899.00,1060.82,LF-5328,817452021381,Home & Garden > Lawn & Garden > Outdoor Living,1,https://laitm.com/wp-content/uploads/2026/07/laitmm-product-47-image-1.png,https://laitm.com/product/creative-cedar-designs-cedar-cottage-wooden-swing-set/
champion-power-equipment-15000-12000-watts-portable-generator-with-electric-start-lift-hook,"Champion Power Equipment 15,000/12,000 Watts Portable Generator with Electric Start &amp;amp; Lift Hook",Champion Power Equipment,Portable Generators,799.00,942.82,LF-5332,896682000731,Hardware > Generators > Portable Generators,1,https://laitm.com/wp-content/uploads/2026/07/laitmm-product-51-image-1.png,https://laitm.com/product/champion-power-equipment-15000-12000-watts-portable-generator-with-electric-start-lift-hook/
congo-monkey-playsystem-adventurer-wooden-swing-set,Congo Monkey Playsystem Adventurer Wooden Swing Set,Congo,Garden Essentials,899.00,1060.82,LF-5329,812006014888,Home & Garden > Lawn & Garden > Outdoor Living,1,https://laitm.com/wp-content/uploads/2026/07/laitmm-product-48-image-1.png,https://laitm.com/product/congo-monkey-playsystem-adventurer-wooden-swing-set/
